department_indec_id,department_name,province_indec_id,province_name,centroid_lat,centroid_lon
06014,Adolfo Gonzales Chaves,06,Buenos Aires,-37.9646159068483,-60.2482821323384
30015,Concordia,30,Entre Ríos,-31.2902983724746,-58.2378696898985
30035,Federal,30,Entre Ríos,-30.9924267798293,-58.8918600477175
30056,Gualeguaychú,30,Entre Ríos,-33.0223490410459,-58.7858051710614
30063,Islas del Ibicuy,30,Entre Ríos,-33.6249961546235,-58.9338958542555
30105,Victoria,30,Entre Ríos,-32.7839424597941,-60.2180700308372
30021,Diamante,30,Entre Ríos,-32.228040549074,-60.5239335893593
30098,Uruguay,30,Entre Ríos,-32.4477599400377,-58.5842252100111
30084,Paraná,30,Entre Ríos,-31.6952294494901,-60.0411744815271
06707,Saladillo,06,Buenos Aires,-35.676806451923,-59.7026607444531
06455,Las Flores,06,Buenos Aires,-36.015826657022,-59.1764609497072
06686,Rojas,06,Buenos Aires,-34.1928173894529,-60.7880234647739
06252,Escobar,06,Buenos Aires,-34.3286828340822,-58.7711786108511
06412,José C. Paz,06,Buenos Aires,-34.511853162718,-58.7776345982883
06056,Bahía Blanca,06,Buenos Aires,-38.5841892126256,-62.1694174494415
06735,San Antonio de Areco,06,Buenos Aires,-34.2207575658705,-59.5194434817548
06511,Maipú,06,Buenos Aires,-36.886933208215,-57.5861191040468
06280,General Alvarado,06,Buenos Aires,-38.2026277127362,-58.0718053725136
06357,General Pueyrredón,06,Buenos Aires,-37.9656831422541,-57.743028347627
06518,Mar Chiquita,06,Buenos Aires,-37.4986405981654,-57.6432660560016
06868,Villa Gesell,06,Buenos Aires,-37.3670719558785,-57.0633978822493
06644,Pinamar,06,Buenos Aires,-37.1110742904936,-56.8702834122236
06336,General Lavalle,06,Buenos Aires,-36.650750377237,-56.9410029895247
06420,La Costa,06,Buenos Aires,-36.6971678213727,-56.7159402751909
06505,Magdalena,06,Buenos Aires,-35.1851030703307,-57.6861279818118
18175,Sauce,18,Corrientes,-29.9995030631702,-58.7949968561603
06861,Vicente López,06,Buenos Aires,-34.52653142362,-58.5044865130649
66098,La Viña,66,Salta,-25.4471786730855,-65.5805831392571
06672,Rauch,06,Buenos Aires,-36.5721944489319,-58.9441413666159
66112,Metán,66,Salta,-25.4252109663753,-64.5880714654829
66119,Molinos,66,Salta,-25.5643165283563,-66.4548727525442
22112,O'Higgins,22,Chaco,-27.2556537688374,-60.6799749172166
06560,Moreno,06,Buenos Aires,-34.6106807864965,-58.8108985084565
06427,La Matanza,06,Buenos Aires,-34.7703481015398,-58.6254456945004
06791,Tandil,06,Buenos Aires,-37.3364293166464,-59.1819827896233
06203,Coronel Suárez,06,Buenos Aires,-37.534856250067,-61.8890922422146
46035,Chamical,46,La Rioja,-30.1676450229169,-65.9564977168655
26035,Futaleufú,26,Chubut,-43.0705971248375,-71.4554653748233
78049,Río Chico,78,Santa Cruz,-48.2873290195571,-71.113837498627
62077,San Antonio,62,Río Negro,-40.9526636914294,-65.3712443332326
86014,Alberdi,86,Santiago del Estero,-26.5210423501695,-62.7280139284021
86098,Juan Felipe Ibarra,86,Santiago del Estero,-28.0394929915456,-62.5443747130478
86077,General Taboada,86,Santiago del Estero,-28.5683250686056,-62.3387633833787
06721,Salliqueló,06,Buenos Aires,-36.6717775352133,-63.0479735266054
06091,Berazategui,06,Buenos Aires,-34.8182447703794,-58.155461508679
66049,General Güemes,66,Salta,-24.7646021168635,-64.9560620821107
66154,San Carlos,66,Salta,-25.8295042903902,-66.1746708204562
06343,General Paz,06,Buenos Aires,-35.466183010272,-58.389651959253
06308,General Guido,06,Buenos Aires,-36.6660345415851,-57.9957365952016
06315,General Juan Madariaga,06,Buenos Aires,-37.1535157186092,-57.2306605949345
78028,Lago Argentino,78,Santa Cruz,-49.8364881436802,-72.06547133431
86154,Rivadavia,86,Santiago del Estero,-30.0205069976617,-62.280260406999
86126,Ojo de Agua,86,Santiago del Estero,-29.3043766197306,-64.0144967880943
86063,Choya,86,Santiago del Estero,-28.7541678003854,-64.7638924389835
74042,Gobernador Dupuy,74,San Luis,-35.3684506230675,-65.809487372821
66014,Cachi,66,Salta,-25.038755786337,-66.2026200885047
66042,Chicoana,66,Salta,-25.1514413324719,-65.6063327574043
26042,Gaiman,26,Chubut,-43.2725140893505,-66.1720705793314
26077,Rawson,26,Chubut,-43.1373292631623,-65.0757170605931
46077,General Lamadrid,46,La Rioja,-28.7904386774179,-68.6975444932226
74007,Ayacucho,74,San Luis,-32.1657217092103,-66.5423618070089
22036,12 de Octubre,22,Chaco,-27.3333760774448,-61.4758065480051
14175,Tulumba,14,Córdoba,-30.2195169248248,-63.8287887197042
14028,Cruz del Eje,14,Córdoba,-30.6567576546802,-65.0782065927095
14091,Punilla,14,Córdoba,-31.2187582835824,-64.5858722176043
02042,Comuna 6,02,Ciudad Autónoma de Buenos Aires,-34.6168433901026,-58.4435682279951
50112,Santa Rosa,50,Mendoza,-33.6169989146657,-67.9638561142682
22063,General Güemes,22,Chaco,-25.212576905898,-61.3344270231873
46084,General Ortiz de Ocampo,46,La Rioja,-31.0067607030974,-66.0589849758729
14035,General Roca,14,Córdoba,-34.6231276675475,-64.3730221441911
34042,Pilagás,34,Formosa,-25.1053773069172,-58.6616277481182
34021,Laishi,34,Formosa,-26.4675822193402,-58.5654632415076
50084,Rivadavia,50,Mendoza,-33.4170768899779,-68.6049732994365
06819,Tornquist,06,Buenos Aires,-38.2576421634805,-62.2905659977374
50042,La Paz,50,Mendoza,-33.7012853202088,-67.2497236922759
06196,Coronel Pringles,06,Buenos Aires,-38.1479172688233,-61.2644174529926
62028,Conesa,62,Río Negro,-40.1487161931233,-64.3049127228304
06875,Villarino,06,Buenos Aires,-39.1285652325867,-62.7245989548872
34056,Pirané,34,Formosa,-25.7672913544641,-59.1592563969217
06351,General Pinto,06,Buenos Aires,-34.6696214541604,-62.0398536742269
06742,San Cayetano,06,Buenos Aires,-38.3890731972465,-59.5863264400332
06833,Tres Arroyos,06,Buenos Aires,-38.5118142752579,-60.2374173247047
06189,Coronel Dorrego,06,Buenos Aires,-38.6708176079735,-61.0955505728699
06581,Necochea,06,Buenos Aires,-38.2554110045679,-59.1673869468897
46105,Independencia,46,La Rioja,-30.1144556417024,-67.3355098029644
06218,Chascomús,06,Buenos Aires,-35.6186883086057,-57.9039810685242
06655,Punta Indio,06,Buenos Aires,-35.4260558765566,-57.3992340402061
38014,El Carmen,38,Jujuy,-24.4475372667752,-65.1012859046503
14147,Santa María,14,Córdoba,-31.7097123126909,-64.3059021632813
62084,Valcheta,62,Río Negro,-40.9744584304307,-66.3108907979663
46007,Arauco,46,La Rioja,-28.5330436663011,-66.7191026010202
06466,Lezama,06,Buenos Aires,-35.8492083919939,-57.8948443895452
06126,Campana,06,Buenos Aires,-34.1383889592817,-58.8829573786215
78042,Magallanes,78,Santa Cruz,-48.8383418227095,-68.4681621290535
78007,Corpen Aike,78,Santa Cruz,-49.9474837008291,-69.4469507226845
14070,Minas,14,Córdoba,-31.0350313100891,-65.4119724397194
14126,San Alberto,14,Córdoba,-31.7080283283874,-65.1565147370037
14119,Río Segundo,14,Córdoba,-31.7331087895549,-63.4748555205649
